"","score","text"
"79",2,"Is the lottery a good idea? Well, at the very least it may https://t.co/nl5tFWFUCq #Budget #PersonalFinance #money https://t.co/W1vfiWVoPY"
"80",0,"Agriculture an also-ran in federal budget #westcdnag #budget - Manitoba Co-operator https://t.co/7XDB4Of3Bq"
"81",2,"RT @CeriVillasBali: BALI VILLA June Offer<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Private Pool-BBQ-free Fiber WIFI<ed><U+00A0><U+00BD><ed><U+00B8><U+0087> #wonderful #life #free #lfreewifi #internet #moments #souvenirs…"
"82",-1,"RT @britishberliner: If you're thinking of #Switzerland, it's best to stick to a #budget 'cos it's terribly #expensive! Prepare yourself fo…"
"83",-1,"#Restaurant #dining on a budget? It can be done! https://t.co/vVm7wP8XK1 #budget #debt"
"84",0,"Unmissable!
17% off #Budget AC Room @ https://t.co/xYeIdpxSQE
1,200 THB-E31-$33-£27
till 31th March
#phiphi… https://t.co/scub8Vv7aZ"
"85",1,"Unmissably awesome!
17% off #Budget AC Room @ https://t.co/Lt5Qe34TnN
1,200 THB-E31-$33-£27
till 31th March
#phiphi… https://t.co/P2UecYGFEC"
"86",2,"Award winning Customer Service, quickest turnaround and lower #mailing #costs https://t.co/Dad5NjupeN #mail #post… https://t.co/OR7AWQSRJC"
"87",0,"#reloved #bridal #bride #gown #wedding #boutique #designer #marriage #yourlittlesecret #preloved #budget #bridetobe… https://t.co/UyXS0WecxL"
"88",-1,"If you're thinking of #Switzerland, it's best to stick to a #budget 'cos it's terribly #expensive! Prepare yourself… https://t.co/ED9yZDDhRh"
"89",0,"Follow @SightsIn1 It's Value Addition to CAREER!

Sharing key highlights of Budget 2018 with HR Professionals' comm… https://t.co/g7Lul295Qq"
"90",0,"#Cash Crone: 2016 - The Year of the Fixer Upper https://t.co/RPlCdlFyiu #adventure #bills #budget"
"91",0,"Is It Time To Reevaluate Your Small Business Budget? https://t.co/FtGDpMs1I8 #SMB #budget https://t.co/24dhT0uA35"
"92",2,"RT @CeriVillasBali: BALI VILLA June Offer<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Private Pool-BBQ-free Fiber WIFI<ed><U+00A0><U+00BD><ed><U+00B8><U+0087> #wonderful #life #free #lfreewifi #internet #moments #souvenirs…"
